Tick, Source Station, Destination Station, Message Length
10, S1, S2, 1
14, S2, S1, 3
28, S1, S2, 5
40, S2, S1, 3
63, S1, S3, 5
75, S2, S3, 3
96, S1, S3, 3
106, S2, S3, 1
118, S1, S2, 3
131, S2, S3, 4
151, S1, S3, 2
163, S2, S3, 3
175, S1, S2, 3
187, S1, S2, 3
210, S1, S3, 5
221, S2, S1, 2
242, S1, S3, 3
263, S1, S3, 3
283, S1, S3, 2
297, S2, S3, 5
316, S1, S3, 1
329, S2, S1, 4
340, S1, S2, 2
354, S2, S3, 5
358, S3, S1, 2
379, S1, S3, 3
391, S2, S3, 3
411, S1, S3, 2
422, S1, S2, 2
436, S2, S3, 5
458, S1, S3, 4
470, S2, S1, 3
481, S1, S2, 2
491, S2, S1, 1
502, S1, S2, 2
516, S2, S1, 5
526, S1, S2, 1
538, S2, S3, 3
552, S1, S2, 5
573, S1, S3, 3
584, S2, S3, 2
607, S1, S3, 5
620, S2, S3, 4
643, S1, S3, 5
663, S1, S3, 2
677, S2, S1, 5
696, S1, S3, 1
716, S1, S3, 2
729, S2, S1, 4
743, S1, S2, 5
753, S2, S3, 1
765, S1, S2, 3
777, S2, S3, 3
800, S1, S3, 5
811, S2, S1, 2
823, S1, S2, 3
835, S2, S1, 3
845, S1, S2, 1
867, S1, S3, 4
879, S2, S1, 3
889, S1, S2, 1
909, S1, S3, 2
920, S2, S1, 2
934, S1, S2, 5
957, S1, S3, 5
970, S2, S3, 4
983, S1, S2, 4
993, S2, S1, 1
1012, S1, S3, 1
1026, S2, S3, 5
1036, S1, S2, 1
1046, S2, S1, 1
1057, S1, S2, 2
1067, S2, S3, 1
1079, S1, S2, 3
1089, S2, S1, 1
1102, S1, S2, 4
1123, S1, S3, 3
1135, S2, S1, 3
1149, S1, S2, 5
1162, S1, S2, 4
1174, S2, S1, 3
1196, S1, S3, 4
1209, S2, S3, 4
1219, S1, S2, 1
1229, S2, S1, 1
1239, S1, S2, 1
1249, S2, S3, 1
1260, S1, S2, 2
1271, S2, S3, 2
1294, S1, S3, 5
1305, S2, S3, 2
1326, S1, S3, 3
1340, S2, S1, 5
1353, S1, S2, 4
1366, S2, S1, 4
1376, S1, S2, 1
1389, S1, S2, 4
1401, S2, S3, 3
1411, S1, S2, 1
1425, S2, S3, 5
1435, S1, S2, 1
1446, S2, S1, 2
1466, S1, S3, 2
1479, S2, S1, 4
1493, S1, S2, 5
1503, S2, S1, 1
1526, S1, S3, 5
1536, S2, S1, 1
1550, S1, S2, 5
1571, S1, S3, 3
1592, S1, S3, 3
1605, S2, S3, 4
1627, S1, S3, 4
1640, S1, S2, 4
1654, S2, S1, 5
1664, S1, S2, 1
1674, S1, S2, 1
1688, S2, S3, 5
1710, S1, S3, 4
1722, S1, S2, 3
1741, S1, S3, 1
1752, S2, S1, 2
1763, S1, S2, 2
1785, S1, S3, 4
1798, S2, S1, 4
1819, S1, S3, 3
1832, S2, S3, 4
1842, S1, S2, 1
1852, S2, S1, 1
1875, S1, S3, 5
1889, S2, S3, 5
1911, S1, S3, 4
1925, S2, S1, 5
1936, S1, S2, 2
1950, S1, S2, 5
1962, S2, S1, 3
1973, S1, S2, 2
1987, S2, S1, 5
2010, S1, S3, 5
2030, S1, S3, 2
2042, S2, S1, 3
2053, S1, S2, 2
2065, S2, S1, 3
2088, S1, S3, 5
2101, S2, S1, 4
2114, S1, S2, 4
2125, S2, S3, 2
2136, S1, S2, 2
2147, S2, S1, 2
2157, S1, S2, 1
2179, S1, S3, 4
2193, S1, S2, 5
2204, S2, S1, 2
2215, S1, S2, 2
2228, S2, S1, 4
2248, S1, S3, 2
2259, S2, S3, 2
2273, S1, S2, 5
2287, S2, S3, 5
2306, S1, S3, 1
2327, S1, S3, 3
2341, S2, S1, 5
2355, S1, S2, 5
2366, S2, S3, 2
2387, S1, S3, 3
2397, S2, S3, 1
2408, S1, S2, 2
2429, S1, S3, 3
2441, S1, S2, 3
2454, S2, S1, 4
2467, S1, S2, 4
2481, S2, S1, 5
2491, S1, S2, 1
2501, S2, S3, 1
2511, S2, S1, 1
2531, S1, S3, 2
2541, S2, S1, 1
2561, S1, S3, 2
2575, S2, S1, 5
2589, S1, S2, 5
2601, S1, S2, 3
2614, S1, S2, 4
2628, S1, S2, 5
2639, S2, S3, 2
2662, S1, S3, 5
2674, S1, S2, 3
2684, S2, S1, 1
2698, S1, S2, 5
2711, S1, S2, 4
2721, S2, S1, 1
2732, S1, S2, 2
2742, S3, S2, 1
2762, S1, S3, 2
2776, S2, S1, 5
2797, S1, S3, 3
2808, S1, S2, 2
2818, S2, S1, 1
2840, S1, S3, 4
2860, S1, S3, 2
2871, S1, S2, 2
2884, S2, S1, 4
2897, S1, S2, 4
2910, S1, S2, 4
2923, S2, S3, 4
2935, S1, S2, 3
2948, S2, S3, 4
2961, S1, S2, 4
2984, S1, S3, 5
2994, S2, S1, 1
3017, S1, S3, 5
3027, S2, S3, 1
3048, S1, S3, 3
3071, S1, S3, 5
3084, S2, S3, 4
3097, S1, S2, 4
3108, S2, S3, 2
3120, S1, S2, 3
3133, S2, S3, 4
3146, S1, S2, 4
3159, S2, S1, 4
3170, S1, S2, 2
3181, S2, S3, 2
3193, S1, S2, 3
3215, S1, S3, 4
3225, S1, S2, 1
3236, S2, S3, 2
3257, S1, S3, 3
3268, S1, S2, 2
3289, S1, S3, 3
3300, S2, S1, 2
3322, S1, S3, 4
3334, S2, S3, 3
3354, S1, S3, 2
3366, S2, S1, 3
3379, S1, S2, 4
3390, S2, S3, 2
3413, S1, S3, 5
3435, S1, S3, 4
3448, S2, S3, 4
3470, S1, S3, 4
3483, S2, S3, 4
3496, S1, S2, 4
3519, S1, S3, 5
3530, S2, S1, 2
3541, S1, S2, 2
3551, S2, S1, 1
3565, S1, S2, 5
3579, S2, S1, 5
3598, S1, S3, 1
3609, S2, S3, 2
3619, S1, S2, 1
3629, S1, S2, 1
3643, S1, S2, 5
3657, S2, S1, 5
3676, S1, S3, 1
3690, S2, S1, 5
3709, S1, S3, 1
3730, S1, S3, 3
3743, S2, S1, 4
3754, S1, S2, 2
3766, S1, S2, 3
3785, S1, S3, 1
3797, S2, S1, 3
3811, S1, S2, 5
3831, S1, S3, 2
3850, S1, S3, 1
3861, S2, S3, 2
3875, S1, S2, 5
3887, S2, S1, 3
3909, S1, S3, 4
3923, S2, S1, 5
3936, S1, S2, 4
3948, S2, S1, 3
3967, S1, S3, 1
3978, S2, S3, 2
4000, S1, S3, 4
4011, S2, S3, 2
4021, S1, S2, 1
4032, S2, S3, 2
4043, S1, S2, 2
4054, S2, S1, 2
4076, S1, S3, 4
4088, S2, S3, 3
4109, S1, S3, 3
4119, S2, S1, 1
4140, S1, S3, 3
4152, S2, S1, 3
4162, S1, S2, 1
4172, S2, S1, 1
4192, S1, S3, 2
4202, S2, S3, 1
4221, S1, S3, 1
4231, S2, S1, 1
4243, S1, S2, 3
4253, S2, S1, 1
4264, S1, S2, 2
4276, S1, S2, 3
4296, S1, S3, 2
4310, S2, S1, 5
4331, S1, S3, 3
4343, S2, S1, 3
4355, S1, S2, 3
4368, S1, S2, 4
4391, S1, S3, 5
4401, S2, S1, 1
4411, S1, S2, 1
4434, S1, S3, 5
4445, S2, S1, 2
4466, S1, S3, 3
4488, S1, S3, 4
4511, S1, S3, 5
4521, S1, S2, 1
4533, S2, S1, 3
4544, S1, S2, 2
4558, S2, S1, 5
4581, S1, S3, 5
4595, S2, S1, 5
4618, S1, S3, 5
4631, S1, S2, 4
4642, S2, S1, 2
4661, S1, S3, 1
4672, S2, S1, 2
4682, S1, S2, 1
4693, S2, S1, 2
4705, S1, S2, 3
4724, S1, S3, 1
4734, S2, S1, 1
4754, S1, S3, 2
