Tick, Source Station, Destination Station, Message Length
3, S2, S1,2
10, S3, S1,5
21, S2, S3,4
39, S1, S3,4
51, S3, S2,5
61, S1, S2,3
72, S3, S2,4
89, S1, S3,3
101, S2, S1,5
120, S3, S1,5
131, S2, S1,4
143, S1, S2,5
154, S2, S3,4
170, S1, S3,2
180, S2, S1,3
196, S1, S3,2
212, S3, S1,2
221, S1, S2,2
232, S2, S3,4
247, S1, S3,1
255, S2, S3,1
272, S3, S1,3
287, S1, S3,1
296, S2, S3,2
310, S3, S2,5
326, S1, S3,2
337, S1, S2,4
348, S1, S2,4
358, S2, S1,3
370, S1, S2,5
379, S2, S3,2
396, S3, S1,3
413, S1, S3,3
428, S3, S1,1
438, S2, S3,3
453, S1, S3,1
462, S1, S2,2
474, S2, S3,5
491, S1, S3,3
503, S2, S3,5
512, S1, S2,2
521, S2, S3,2
531, S2, S3,3
543, S2, S3,5
553, S1, S2,3
564, S2, S1,4
572, S1, S2,1
580, S2, S3,1
590, S1, S2,3
606, S3, S1,2
615, S2, S3,2
628, S2, S3,5
643, S1, S3,1
654, S2, S1,4
664, S1, S2,3
673, S3, S2,2
689, S1, S3,2
700, S2, S1,4
715, S3, S1,1
726, S2, S3,4
745, S1, S3,5
755, S2, S3,3
773, S3, S1,4
782, S1, S2,2
794, S2, S3,5
813, S3, S1,5
822, S1, S2,2
834, S2, S3,5
842, S1, S2,1
850, S2, S3,1
867, S3, S1,3
884, S1, S3,3
895, S2, S3,4
913, S1, S3,4
923, S2, S1,3
938, S3, S1,1
955, S1, S3,3
964, S2, S1,2
975, S1, S2,4
984, S2, S1,2
1002, S1, S3,4
1013, S2, S1,4
1030, S1, S3,3
1041, S2, S3,4
1059, S3, S1,4
1070, S1, S2,4
1080, S2, S1,3
1098, S1, S3,4
1108, S2, S1,3
1124, S1, S3,2
1134, S1, S2,3
1145, S2, S1,4
1154, S1, S2,2
1163, S2, S3,2
1171, S3, S2,1
1179, S1, S2,1
1188, S2, S3,2
1207, S1, S3,5
1217, S2, S3,3
1225, S1, S2,1
1244, S3, S1,5
1254, S1, S2,3
1265, S2, S1,4
1277, S3, S2,5
1289, S1, S2,5
1297, S2, S3,1
1313, S1, S3,2
1321, S2, S1,1
1333, S1, S2,5
1345, S2, S3,5
1362, S1, S3,3
1373, S2, S3,4
1392, S1, S3,5
1403, S2, S3,4
1411, S1, S2,1
1423, S3, S2,5
1439, S1, S3,2
1447, S2, S1,1
1464, S3, S1,3
1475, S1, S2,4
1491, S1, S3,2
1499, S2, S1,1
1511, S1, S2,5
1521, S2, S3,3
1536, S1, S3,1
1545, S2, S1,2
1556, S1, S2,4
1564, S1, S2,1
1574, S2, S1,3
1592, S1, S3,4
1603, S2, S3,4
1613, S1, S2,3
1623, S2, S3,3
1634, S3, S2,4
1649, S1, S3,1
1657, S2, S3,1
1675, S1, S3,4
1687, S2, S3,5
1697, S1, S2,3
1705, S3, S2,1
1719, S1, S2,3
1727, S2, S3,1
1746, S1, S3,5
1757, S2, S3,4
1766, S1, S2,2
1776, S2, S3,3
1788, S1, S2,5
1798, S2, S1,3
1814, S3, S1,2
1823, S2, S3,2
1839, S1, S3,2
1856, S1, S3,3
1866, S2, S3,3
1885, S3, S1,5
1897, S1, S2,5
1909, S2, S1,5
1924, S1, S3,1
1932, S2, S1,1
1947, S3, S1,1
1965, S1, S3,4
1981, S1, S3,2
1990, S2, S3,2
2006, S1, S3,2
2015, S2, S1,2
2030, S1, S3,1
2042, S2, S3,5
2053, S1, S2,4
2071, S3, S1,4
2090, S1, S3,5
2108, S1, S3,4
2120, S2, S3,5
2137, S1, S3,3
2156, S1, S3,5
2166, S2, S1,3
2175, S3, S2,2
2183, S2, S1,1
2202, S2, S1,5
2217, S1, S3,1
2228, S2, S3,4
2238, S1, S2,3
2246, S2, S3,1
2263, S1, S3,3
2271, S2, S1,1
2279, S1, S2,1
2290, S2, S1,4
2308, S1, S3,4
2317, S2, S3,2
2336, S1, S3,5
2348, S2, S1,5
2365, S3, S1,3
2374, S1, S2,2
2382, S2, S1,1
2392, S1, S2,3
2404, S2, S3,5
2416, S1, S2,5
2432, S3, S1,2
2444, S1, S2,5
2454, S2, S3,3
2463, S3, S2,2
2471, S2, S3,1
2479, S3, S2,1
2490, S1, S2,4
2512, S3, S1,4
2529, S1, S3,3
2538, S1, S2,2
2550, S2, S3,5
2567, S3, S1,3
2583, S1, S3,2
2594, S2, S3,4
2611, S3, S1,3
2627, S1, S3,2
2638, S2, S1,4
2648, S1, S2,3
2659, S3, S2,4
2671, S1, S2,5
2682, S2, S1,4
2694, S1, S2,5
2706, S3, S2,5
2723, S1, S3,3
2731, S2, S3,1
2740, S1, S2,2
2749, S2, S1,2
2765, S3, S1,2
2780, S1, S3,1
2788, S2, S1,1
2806, S1, S3,4
2815, S2, S1,2
2826, S1, S2,4
2838, S2, S1,5
2853, S3, S1,1
2861, S1, S2,1
2872, S2, S3,4
2891, S3, S1,5
2902, S1, S2,4
2914, S2, S3,5
2923, S1, S2,2
2932, S1, S2,2
2943, S1, S2,4
2952, S2, S1,2
2960, S1, S2,1
2969, S2, S3,2
2981, S1, S2,5
2989, S2, S3,1
3001, S2, S3,5
3011, S1, S2,3
3019, S2, S1,1
3036, S3, S1,3
3047, S1, S2,4
3057, S1, S2,3
3065, S2, S3,1
3075, S3, S2,3
3091, S1, S3,2
3099, S2, S3,1
