Tick, Source Station, Destination Station, Message Length
8, S3, S2,2
13, S2, S1,2
16, S1, S3,1
20, S2, S1,2
23, S1, S2,3
30, S3, S2,2
34, S2, S1,2
39, S1, S3,2
41, S2, S1,2
59, S3, S2,3
64, S1, S2,3
66, S2, S1,2
72, S3, S2,2
83, S3, S1,2
87, S1, S2,2
89, S2, S1,1
101, S2, S1,1
103, S1, S2,3
111, S3, S1,2
116, S2, S3,2
124, S3, S1,2
126, S1, S2,3
130, S2, S3,1
134, S1, S3,1
138, S3, S2,1
149, S3, S1,1
151, S2, S3,1
157, S1, S3,1
162, S2, S1,2
171, S3, S1,3
178, S2, S3,1
182, S2, S1,1
190, S2, S3,1
194, S2, S3,1
200, S2, S3,3
208, S2, S1,1
212, S2, S1,1
216, S2, S1,1
220, S2, S1,1
224, S2, S1,1
228, S2, S1,1
232, S2, S1,1
236, S2, S1,1
240, S2, S1,1
245, S2, S1,2
250, S2, S1,2
254, S2, S1,1
258, S2, S1,1
263, S2, S1,2
268, S2, S1,2
274, S2, S1,3
280, S2, S1,3
286, S2, S3,3
292, S2, S3,3
296, S2, S1,1
300, S2, S1,1
304, S2, S1,1
308, S2, S1,1
317, S2, S3,2
325, S2, S1,3
331, S2, S3,1
337, S2, S1,3
343, S2, S3,3
349, S2, S3,3
353, S2, S3,1
358, S2, S3,2
364, S2, S1,3
370, S2, S1,3
374, S2, S3,1
378, S2, S3,1
383, S2, S3,2
391, S2, S1,1
395, S2, S1,1
399, S2, S1,1
